year,state,count
1992,AK,481
1993,AK,861
1994,AK,640
1995,AK,418
1996,AK,718
1997,AK,721
1998,AK,408
1999,AK,482
2000,AK,364
2001,AK,361
2002,AK,538
2003,AK,478
2004,AK,694
2005,AK,619
2006,AK,301
2007,AK,513
2008,AK,369
2009,AK,513
2010,AK,691
2011,AK,508
2012,AK,409
2013,AK,592
2014,AK,393
2015,AK,771
1992,AL,93
1993,AL,137
1994,AL,3452
1995,AL,4230
1996,AL,4048
1997,AL,2591
1998,AL,3566
1999,AL,4501
2000,AL,6264
2001,AL,3309
2002,AL,2926
2003,AL,1824
2004,AL,3054
2005,AL,2547
2006,AL,3947
2007,AL,3833
2008,AL,2012
2009,AL,1372
2010,AL,2913
2011,AL,2042
2012,AL,1747
2013,AL,1670
2014,AL,2418
2015,AL,2074
1992,AR,128
1993,AR,151
1994,AR,167
1995,AR,240
1996,AR,224
1997,AR,1040
1998,AR,1156
1999,AR,2224
2000,AR,2363
2001,AR,1266
2002,AR,1001
2003,AR,1664
2004,AR,1364
2005,AR,2296
2006,AR,2571
2007,AR,1301
2008,AR,883
2009,AR,1076
2010,AR,2220
2011,AR,2546
2012,AR,2351
2013,AR,847
2014,AR,1295
2015,AR,1289
1992,AZ,3494
1993,AZ,4639
1994,AZ,4519
1995,AZ,4502
1996,AZ,3761
1997,AZ,2250
1998,AZ,2679
1999,AZ,2736
2000,AZ,3859
2001,AZ,3186
2002,AZ,2918
2003,AZ,2916
2004,AZ,2843
2005,AZ,3690
2006,AZ,3319
2007,AZ,2443
2008,AZ,1898
2009,AZ,2333
2010,AZ,1617
2011,AZ,1912
2012,AZ,1760
2013,AZ,1665
2014,AZ,2828
2015,AZ,3819
1992,CA,10833
1993,CA,8270
1994,CA,8654
1995,CA,7381
1996,CA,9173
1997,CA,7930
1998,CA,6864
1999,CA,8910
2000,CA,6977
2001,CA,8182
2002,CA,7133
2003,CA,7913
2004,CA,7418
2005,CA,6678
2006,CA,8271
2007,CA,10151
2008,CA,7744
2009,CA,6940
2010,CA,5776
2011,CA,8562
2012,CA,7208
2013,CA,8723
2014,CA,6494
2015,CA,7365
1992,CO,1322
1993,CO,1244
1994,CO,2515
1995,CO,1517
1996,CO,1405
1997,CO,722
1998,CO,765
1999,CO,756
2000,CO,1619
2001,CO,1266
2002,CO,1221
2003,CO,2422
2004,CO,1310
2005,CO,1875
2006,CO,1316
2007,CO,1070
2008,CO,1015
2009,CO,952
2010,CO,2694
2011,CO,957
2012,CO,1106
2013,CO,3894
2014,CO,603
2015,CO,591
1992,CT,202
1993,CT,103
1994,CT,290
1995,CT,110
1996,CT,27
1997,CT,83
1998,CT,30
1999,CT,297
2000,CT,126
2001,CT,207
2002,CT,107
2003,CT,95
2004,CT,87
2005,CT,293
2006,CT,372
2007,CT,331
2008,CT,366
2009,CT,257
2010,CT,418
2011,CT,227
2012,CT,576
2015,CT,372
1992,DC,3
1993,DC,7
1994,DC,4
1995,DC,5
1997,DC,3
1998,DC,13
1999,DC,8
2001,DC,1
2002,DC,1
2005,DC,2
2006,DC,3
2007,DC,1
2008,DC,1
2009,DC,1
2010,DC,1
2011,DC,2
2012,DC,5
2013,DC,1
2014,DC,1
2015,DC,3
1992,DE,3
1993,DE,1
1994,DE,2
1995,DE,5
1997,DE,5
1999,DE,2
2000,DE,1
2001,DE,1
2002,DE,39
2003,DE,21
2004,DE,27
2005,DE,14
2007,DE,2
2010,DE,1
2012,DE,19
2013,DE,9
2014,DE,3
2015,DE,16
1992,FL,4222
1993,FL,4548
1994,FL,3530
1995,FL,3186
1996,FL,4697
1997,FL,3912
1998,FL,4813
1999,FL,5484
2000,FL,6499
2001,FL,4887
2002,FL,3131
2003,FL,2150
2004,FL,3618
2005,FL,2395
2006,FL,5115
2007,FL,4589
2008,FL,3105
2009,FL,3016
2010,FL,2373
2011,FL,5029
2012,FL,3107
2013,FL,2163
2014,FL,2144
2015,FL,2548
1992,GA,6459
1993,GA,9111
1994,GA,6584
1995,GA,7968
1996,GA,9872
1997,GA,7234
1998,GA,7301
1999,GA,11138
2000,GA,10549
2001,GA,9572
2002,GA,7804
2003,GA,4567
2004,GA,8127
2005,GA,6049
2006,GA,8925
2007,GA,8717
2008,GA,5807
2009,GA,4176
2010,GA,5874
2011,GA,8414
2012,GA,4949
2013,GA,3252
2014,GA,4063
2015,GA,2355
1992,HI,77
1993,HI,14
1994,HI,9
1995,HI,10
1996,HI,8
1997,HI,12
1998,HI,26
1999,HI,9
2000,HI,13
2001,HI,566
2002,HI,576
2003,HI,941
2004,HI,687
2005,HI,1242
2006,HI,789
2007,HI,964
2008,HI,769
2009,HI,816
2010,HI,984
2011,HI,603
2012,HI,714
2013,HI,60
2014,HI,2
2015,HI,4
1992,IA,5
1993,IA,6
1994,IA,5
1995,IA,6
1996,IA,28
1997,IA,10
1998,IA,3
1999,IA,20
2000,IA,19
2001,IA,10
2002,IA,51
2003,IA,50
2004,IA,50
2005,IA,34
2006,IA,442
2007,IA,143
2008,IA,151
2009,IA,702
2010,IA,199
2011,IA,439
2012,IA,458
2013,IA,243
2014,IA,543
2015,IA,517
1992,ID,2195
1993,ID,698
1994,ID,3336
1995,ID,1433
1996,ID,1974
1997,ID,1130
1998,ID,1758
1999,ID,1916
2000,ID,1749
2001,ID,1683
2002,ID,1511
2003,ID,1657
2004,ID,1138
2005,ID,1144
2006,ID,1888
2007,ID,1589
2008,ID,986
2009,ID,1198
2010,ID,1150
2011,ID,1318
2012,ID,1189
2013,ID,1566
2014,ID,1215
2015,ID,1277
1992,IL,18
1993,IL,5
1994,IL,27
1995,IL,47
1996,IL,21
1997,IL,10
1998,IL,22
1999,IL,53
2000,IL,29
2001,IL,45
2002,IL,43
2003,IL,48
2004,IL,88
2005,IL,62
2006,IL,34
2007,IL,99
2008,IL,197
2009,IL,347
2010,IL,452
2011,IL,136
2012,IL,167
2013,IL,44
2014,IL,227
2015,IL,106
1992,IN,95
1993,IN,56
1994,IN,85
1995,IN,101
1996,IN,88
1997,IN,36
1998,IN,57
1999,IN,151
2000,IN,92
2001,IN,140
2002,IN,123
2003,IN,155
2004,IN,193
2005,IN,173
2006,IN,86
2007,IN,127
2008,IN,67
2009,IN,45
2010,IN,73
2011,IN,26
2012,IN,57
2013,IN,20
2014,IN,36
2015,IN,16
1992,KS,16
1993,KS,14
1994,KS,47
1995,KS,30
1996,KS,30
1997,KS,22
1998,KS,31
1999,KS,36
2000,KS,48
2001,KS,69
2002,KS,128
2003,KS,113
2004,KS,76
2005,KS,175
2006,KS,348
2007,KS,196
2008,KS,94
2009,KS,71
2010,KS,40
2011,KS,56
2012,KS,73
2013,KS,14
2014,KS,59
2015,KS,5887
1992,KY,49
1993,KY,81
1994,KY,178
1995,KY,180
1996,KY,72
1997,KY,675
1998,KY,957
1999,KY,1879
2000,KY,1587
2001,KY,2061
2002,KY,1050
2003,KY,956
2004,KY,1238
2005,KY,1766
2006,KY,1884
2007,KY,2081
2008,KY,1563
2009,KY,1419
2010,KY,1913
2011,KY,1032
2012,KY,1263
2013,KY,1003
2014,KY,1446
2015,KY,756
1992,LA,87
1993,LA,127
1994,LA,111
1995,LA,139
1996,LA,157
1997,LA,1361
1998,LA,2283
1999,LA,2788
2000,LA,4234
2001,LA,976
2002,LA,1481
2003,LA,94
2004,LA,78
2005,LA,3384
2006,LA,3131
2007,LA,63
2008,LA,1438
2009,LA,1542
2010,LA,2419
2011,LA,217
2012,LA,877
2013,LA,1075
